"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1844","Test2","NunitPlayV2","Fri Feb 13 15:57:47 UTC 2026","passed","Fri Feb 13 15:57:49 UTC 2026","JsonHandlerTest","NunitPlayV2.DataDrivenTests","JsonHandlerTest","Test2"
"","17287","TestSearchEmployee","NunitPlayV2","Fri Feb 13 15:58:07 UTC 2026","passed","Fri Feb 13 15:58:24 UTC 2026","HRMSearchEmployee","NunitPlayV2.UITests","HRMSearchEmployee","TestSearchEmployee"
"","3181","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:57:53 UTC 2026","passed","Fri Feb 13 15:57:56 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","3140","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:58:04 UTC 2026","passed","Fri Feb 13 15:58:07 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","4386","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:57:59 UTC 2026","passed","Fri Feb 13 15:58:04 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","3304","Verify Valid Login","","Fri Feb 13 15:58:24 UTC 2026","passed","Fri Feb 13 15:58:27 UTC 2026","","Authentication","LoginTests","TestLogin"
"","184","Test11","NunitPlayV2","Fri Feb 13 15:57:49 UTC 2026","passed","Fri Feb 13 15:57:50 UTC 2026","JsonUpdaterTest","NunitPlayV2.DataDrivenTests","JsonUpdaterTest","Test11"
"","28330","Verify Add New Employee ","NunitPlayV2","Fri Feb 13 15:58:07 UTC 2026","passed","Fri Feb 13 15:58:35 UTC 2026","HRMTests","NunitPlayV2.UITests","HRMTests","TestCreateNewEmployee"
"","3206","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:57:56 UTC 2026","passed","Fri Feb 13 15:57:59 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","15261","GeoToolTests","NunitPlayV2","Fri Feb 13 15:58:27 UTC 2026","passed","Fri Feb 13 15:58:43 UTC 2026","LongLatTest","NunitPlayV2.UITests","LongLatTest","GeoToolTests"
"","5246","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:57:47 UTC 2026","passed","Fri Feb 13 15:57:53 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
